	Tiempo de ejecucion en funcion del numero de iteraciones:
			con uso de registro

numero de iteraciones 		 tiempo de ejecucion
	1  		              0.00  
	2  		              0.00  
	3  		              0.00  
	4  		              0.00  
	5  		              0.00  
	6  		              0.00  
	7  		              0.00  
	8  		              0.00  
	9  		              0.00  
	10  		              0.00  
	11  		              0.00  
	12  		              0.00  
	13  		              0.00  
	14  		              0.00  
	15  		              0.00  
	16  		              0.00  
	17  		              0.00  
	18  		              0.00  
	19  		              0.00  
	20  		              0.00  
	21  		              0.00  
	22  		              0.00  
	23  		              0.00  
	24  		              0.00  
	25  		              0.00  
	26  		          10000.00  
	27  		              0.00  
	28  		              0.00  
	29  		              0.00  
	30  		              0.00  
	31  		              0.00  
	32  		              0.00  
	33  		          10000.00  
	34  		              0.00  
	35  		              0.00  
	36  		              0.00  
	37  		              0.00  
	38  		          10000.00  
	39  		          10000.00  
	40  		          10000.00  
	41  		          10000.00  
	42  		          10000.00  
	43  		          10000.00  
	44  		          10000.00  
	45  		          10000.00  
	46  		          10000.00  
	47  		          10000.00  
	48  		          10000.00  
	49  		          20000.00  
	50  		          20000.00  
