	Tiempo de ejecucion en funcion del numero de iteraciones:
		sin uso de registro

numero de iteraciones 		 tiempo de ejecucion
	1  		              0.00  
	2  		              0.00  
	3  		              0.00  
	4  		              0.00  
	5  		              0.00  
	6  		              0.00  
	7  		              0.00  
	8  		              0.00  
	9  		              0.00  
	10  		              0.00  
	11  		              0.00  
	12  		              0.00  
	13  		              0.00  
	14  		              0.00  
	15  		          10000.00  
	16  		              0.00  
	17  		              0.00  
	18  		          10000.00  
	19  		          10000.00  
	20  		          10000.00  
	21  		          10000.00  
	22  		          10000.00  
	23  		          20000.00  
	24  		          10000.00  
	25  		          20000.00  
	26  		          20000.00  
	27  		          20000.00  
	28  		          30000.00  
	29  		          30000.00  
	30  		          40000.00  
	31  		          50000.00  
	32  		          50000.00  
	33  		          50000.00  
	34  		          60000.00  
	35  		          70000.00  
	36  		          90000.00  
	37  		          90000.00  
	38  		         100000.00  
	39  		         100000.00  
	40  		         110000.00  
	41  		         130000.00  
	42  		         150000.00  
	43  		         160000.00  
	44  		         170000.00  
	45  		         200000.00  
	46  		         210000.00  
	47  		         230000.00  
	48  		         260000.00  
	49  		         270000.00  
	50  		         300000.00  
